id,type,canonical_name,introduced_floor,description,system_quote,notes
adjutant,faction,Adjutant,9,"Each Faction has an adjutant, who in turn has open communications with other teams' adjutants. Their participation is generally symbolic; they are typically flashy, famous characters like Odette who are there to give a running commentary to viewers during their daily, on-air recaps.",,
agent_provocateur_class,class,Agent Provocateur Class,6,,The mysterious Agent Provocateur prides himself in being invisible…,
alpha_male_carl,item,Alpha Male Carl,8,"Alpha Male Carl is a masculine caricature of Carl. He has gelled-back hair that Donut says is better than Carl's, and a prominent bulge in his star-patterned boxers. His War Gauntlet is bone-white rather than black. His patch jacket has two buttons: ""#1 Son"" and ""Brother of the Century."" He speaks in Carl's Father's voice.",,
arrow_of_enthusiastic_double_gonorrhea,item,Arrow of Enthusiastic Double Gonorrhea,6,,"This is a regular arrow, but the tip is dipped in a poison that will inflict you with Enthusiastic Double Gonorrhea…",
asojano,character,Asojano,8,,"This is a non-corporeal spirit. Also known as the Lord of Smallpox, Asojano is one of the most respected and feared of the Orishas, a former…",
astral_paw_spell,skill,Astral Paw Spell,4,,,
babababoon,monster,Babababoon,4,"Babababoons are roughly human-sized and have simian bodies, complete with bright red asses. Their fleshy, ""disconcertingly-human"" faces have too-small features. They wear the sort of hoodlum outfits you'd expect to find in a Florida drunk tank: backwards baseball caps, top hats, ripped t-shirts featuring Nick Cage's face or rude statements, etc.",,
bactrian,monster,Bactrian,5,,,
bang_bro_spell,skill,Bang Bro Spell,4,,Bang Bro Cost: 5 Mana Target: Temporarily Enchant Equipped Item Duration: 5 minutes + 1 minute per level of spell…,
bard_s_golden_throat,item,Bard's Golden Throat,8,,Important inventions and discoveries of the 1900’s that changed the world…,
bear_witness_spell,skill,Bear Witness Spell,9,Spell can be negated by a high enough Mind Balance Skill.,,
big_boy_blue,monster,Big Boy Blue,5,"Big Boy Blues glowing, blue jellyfish, about 15' (4.572m) in diameter, with long tentacles. They drift aimlessly in water, bouncing off of each other, but will wrap their tentacles around crawlers who get too close.",Big Boy Blue – Level 40 The good ol’ Big Boy Blue is the largest of the jellyfish one might find floating around…,
bin,character,Bin,4,,,
bitch_what_spell,skill,"Bitch, What? Spell",8,,Type: Berserking Spell + partial invulnerability…,
black_nimbus,skill,Black Nimbus,8,,Affected target will suffer the effects of this spell for (30 + [Caster’s Intelligence+Constitution] – [Target’s Intelligence/2]) Seconds…,
blister_ghoul,monster,Blister Ghoul,4,"Blister Ghouls look like almost-human heads with green, rotting skin. Some of them have torsos attached.",Blister Ghoul – Level 20 The thing with the Blister Ghoul is that it is so damn tenacious…,
blood_sultanate,faction,Blood Sultanate,9,"The Blood Sultanate of the Naga is the royal house of the Naga in Syndicate space and a permanent participant in the Ninth Floor Faction Wars. Its line of succession is bound to a piece of dungeon loot, which makes it the single largest obstacle between the Royal Court of Princess Donut and the Tenth Floor.",,
bomb_upgrade_patch,item,Bomb Upgrade Patch,6,"A white, rectangular piece of fabric with a little, circular bomb hand stitched on it in blackwork style with fine, black thread. It looks like a pencil drawing of a bomb.",This patch is finely made from Spider Reaper Minion thread silk…,
bonnie,character,Bonnie,5,"Introduced as a naive and seemingly disconnected child, Bonnie first appears eerily calm in the face of horrific trauma due to a powerful anti-fear potion given to her by her father.",Little Bonnie only loves two things in this world…,
book_burner_patch,item,Book Burner Patch,8,"A medium-sized rectangular patch with a book on it. The book is on fire. This patch is embroidered, not screen printed.",This patch depicts a burning book…,
book_burner_spell,skill,Book Burner Spell,8,,"Once per day, you may cause an opponent your level or lower to forget a spell for a period of 30 hours…",
boomer,character,Boomer,9,"Carl described him as looking like the world’s fattest bulldog, pickled for about 5,000 years, with elf ears and a cigar in his mouth. He also thought Boomer looked as solid as he was old, and had a voice to match. Donut said that he smelled nice, like cedar mixed with acorns. His weapons were a pair of war gauntlets similar to Carl's Enchanted War Gauntlet of the Exalted Grull.",,
bounty_box,item,Bounty Box,4,,,
bravvo,character,Bravvo,6,,,
bronze_condom,item,Bronze Condom,6,An unenchanted condom in bronze colored packaging. It has a sketch of an older woman (possibly [https://en.wikipedia.org/wiki/Bea_Arthur Bea Arthur]) and a sheep on the other.,,
butcher_s_masquerade_spell,skill,Butcher's Masquerade Spell,6,"The spell produces a ritual rather than a battlefield effect, and it does not resolve in a single moment: several components must be completed before it successfully casts. The guest list forms first, drawn up by Apito herself and stacked deliberately with parties who cannot stand one another, so that discord is sown among everyone involved.",,
cave_mudge_bonker,monster,Cave Mudge Bonker,4,"Bonkers are gray-skinned, pig-like, corpulent monsters wobbling on thin legs. Their heads are topped with wisps of oily black hair, and feature black beady eyes and shark-like mouths. They have no necks and stand at approximately 4' 6"" (1.37m) tall. They are armed with wooden clubs studded with nails. When killed, they drop their clubs, a few gold coins, and occasionally a liver (labeled as an alchemical supply).","In the hierarchy of Cave Mudge society, the Bonker is about as high on the list as a commoner can get…",
celestial_grenade,item,Celestial Grenade,5,,"Celestial Grenade These little balls of fun were developed by the nuns of Enyo during the first enlightenment, back when the gods had to compete for…",
chaco,character,Chaco,4,"On camera Chaco is all showmanship: a running start into the room, booming patter, and a wide grin full of sharp teeth. The dungeon announcer bills him as a dungeon darling, a giver of prizes, a slayer of gods, and a former crawler champion. Off camera he folds fast, squealing and ducking when Mordecai attacks him and trembling through the rest of the taping. He also carries a great deal of guilt.","It’s the dungeon darling, giver-of-prizes, slayer of gods, former Crawler champion, it’s Chaco the Bard!…",
champion_pack,item,Champion Pack,8,,"Offered only to those who have defeated the keymaster, the champion pack contains the following items: *Backup slot: Allows space for two extra totems to be…",
children_of_inpewt,monster,Children of Inpewt,9,"Zerzura transfers a full Dungeon settlement, including all of its NPCs and buildings, to a ""random"" location on a deeper floor. Every creature previously occupying the location is immediately killed and then resurrected as Children of Inpewt. Everyone in the transferred settlement is marked for death by the Children of Inpewt, who will not stop until all their marks are dead.",,
circe_took,character,Circe Took,6,,,
clay,character,Clay,5,,,
cleaner_bot,item,Cleaner Bot,4,"Cleaner Bots are frisbee-shaped flying Roombas that hum as they buzz around, cleaning up whatever mess the Royal Court and its guests make of their Personal Space.",,
clint_smashgrab,character,Clint Smashgrab,6,,"Light Recon Specialist A long time ago, Clint and his people were of a race called the Chee…",
cloud_of_exhaust_spell,skill,Cloud of Exhaust Spell,5,,,
coffee_shop_author_kit,item,Coffee Shop Author Kit,5,"Typically used by scholar and arcanist classes with skills related to scroll-making, the Coffee Shop Author Kit's stated purpose is to allow crawlers to profit from mass-manufacturing scrolls or tomes. When a spell or glyph is correctly transcribed onto the magical paper, the paper is classified as a ""scroll"" and can be sold for profit in the marketplace.",Alcoholism and crippling self-doubt not included…,
combo_card,item,Combo Card,8,,You ever mix two completely incompatible foods together to see how they taste?…,
commandant_kane,character,Commandant Kane,5,,,
community_pool,skill,Community Pool,6,"Community Pool is a powerful rare scroll that allows the caster to transfer an infection from Target A to Target B. The caster must be physically touching both targets for the spell to take effect, and will be stunned for one minute after the casting completes.",,
concierge_shark,monster,Concierge Shark,5,"Concierge Sharks look like typical tiger sharks, but are 15' (4.572m) long, jet black, and have glowing red eyes. They are attracted to blood.","These psychos are of the bite-first, ask-questions-later school of underwater diplomacy…",
control_sigil,item,Control Sigil,4,"To those who have the Escape Plan Skill, a Control Sigil looks like a glowing circle that ""looks like something used in a Satanic ritual mixed with the text from [https://lotr.fandom.com/wiki/One_Ring Frodo's One Ring""]. To anyone else the sigil doesn't show up.",,
cornets,monster,Cornets,4,"Cornets look like tall, skinless, eyeless, human-sized jackrabbits walking on two legs. They are hunched forward with their rabbit ears almost reaching the ceiling. They have a massive mouth with teeth. They make an odd humming noise. The rabbits have no sense of community and barely fight back when the crawlers go to clear out the station. The station is not an established settlement.","Well, what did you expect in an opera?…",
cosmic_buff_potion,item,Cosmic Buff Potion,8,,,
crafter_s_box,item,Crafter's Box,4,,,
crixus,character,Crixus,5,"Crixus is a sniper for the Dirigible Gnomes who harbors a deep, venomous hatred for the Bactrian and Dromedarian camels. He views them as complicit slaves in the subjugation of his people by Emperor Anser, believing the world will be better off once they're destroyed. His primary motive, however, is stopping the ""mad mage"" (Ghazi) from fully acquiring and replicating the Gate of the Feral Gods.",,
dark_hive,faction,Dark Hive,6,,,
de_sleeving_box,item,De-Sleeving Box,6,,,
death_ray,skill,Death Ray,8,,,
did_you_really_just_cast_fireball_in_a_room_this_small_b,item,Did You Really Just Cast Fireball in a Room this Small Box,6,,,
dirigible_gnome,race,Dirigible Gnome,5,,,
dirty_little_phased_bolt,item,Dirty Little Phased Bolt,4,,It must be repaired before you may use it…,
dismemberment_limited,item,Dismemberment Limited,4,"The Dismemberment Limited is a sleek, white [https://en.wikipedia.org/wiki/Maglev maglev] train that moves almost silently on a monorail line. The first car is aerodynamic and sleek with a fully glass nose (similar to a B-17 chin turret), and pulls only two cars behind it. The train can only be entered and exited from the first car.",,
diwata,character,Diwata,6,Her natural form is a giant squirrel-like creature with antlers that's covered in moss and leaves.,,
donita_grace,character,Donita Grace,4,,,
dr_ratchet_s_guide_to_building_automatons_for_fun_and_pr,item,Dr. Ratchet's Guide to Building Automatons for Fun and Profit,6,,,
dragon_chain_tattoo,item,Dragon Chain Tattoo,7,"The Dragon Chain Tattoo was created using a mixture of toraline yam ink and Li Na's freely-given blood. Because the blood was given willingly, Li Na did not permanently lose her skill, but Carl gained the temporary ability to use it. The tattoo grants Carl access to Li Na's level-13 Profane Iron skill, which allows him to unleash multiple prehensile chains from his body once a day for about thirty seconds.",,
drakea_s_enchanted_kerchief_of_disorder,item,Drakea's Enchanted Kerchief of Disorder,5,,"This handy-dandy, versatile garment can be worn around the neck, in the hair, or on your face if you want to cosplay as a cowboy robbing…",
drek,monster,Drek,4,"A knee-high, fat, wrinkly monster with sharp claws and teeth. They stand on two feet but can climb on all fours. They wear loincloths and cry like babies.",What kind of asshole doesn't love babies?…,
dromedarian,race,Dromedarian,5,"The Dromedarians are a common, formerly nomadic race that is found throughout the drier parts of the universe. With the ability to store mass amounts of liquid in their bodies, it is said a Dromedarian can survive up to two months without taking a single sip of water. When these hunters and warriors are placed in a situation where they can no longer wander, they tend to become lethargic, sloth-minded creatures.",,
dungeon_anarchist_s_cookbook_item,item,Dungeon Anarchist's Cookbook,4,,,
dwarven_battery_fabricator,item,Dwarven Battery Fabricator,4,,,
dwarven_industrial_light_duty_automaton_contraption,item,Dwarven Industrial Light-Duty Automaton Contraption,4,The Automatons are the silver and black robots the size of bulldozers. At first they look roughly like lumpy blocks of metal but on closer inspection they have arms and legs. When in sleep mode they vent hot exhaust.,This contraption is in Sleep Mode…,
earth_upgrade_patch,item,Earth Upgrade Patch,5,"A tiny, round patch depicting the planet earth. It is about the size of a half-dollar and is screen-printed, not embroidered.","This patch depicts the planet Earth, which is currently under the regency of the Borant System…",
edict,character,Edict,6,,,
eighth_floor,location,Eighth Floor,8,"The floor divides its crawlers among 293 isolated regions, each a faithful copy of a real place on Earth as it stood shortly before the apocalypse. It runs as a playable memory. People and animals exist only as intangible ghosts who cannot see the crawlers and pass straight through them, going about the day they were recorded, while every non-biological object retains its mass and momentum.",,
elmer,character,Elmer,6,,"So there are bears, which are the vicious, brutal-yet-somehow-cuddly creatures we all know and love…",
emberus,character,Emberus,5,"Emberus is the personification of a star's destructive power, and he embraces a core philosophy that power, once held, must never sit idle but must be used and never squandered. He is known to be stoic and indifferent to the suffering of all but those he deems worthy, and while he can be a just god when the fancy strikes him, the fancy has not struck in a very long time.",Warning: This is a deity. He is invulnerable on this floor…,
emberus_tattoos,item,Emberus Tattoos,5,,,
emerald,character,Emerald,5,"Emerald is one of the many changelings residing in Bubble 543 during the Fifth Floor's games. Like many of her people in this bubble, she masks her true identity by taking on the form of a local dromedarian.",,
anarchist_s_battle_rattle,item,Enchanted Anarchist's Battle Rattle,5,"A sleeveless black jacket made of thick canvas, the Anarchist's Battle Rattle glows with a subtle purplish light. The jacket does not appear to be damaged by flesh injuries.",This sleeveless jacket in its current form only offers meager protections compared to some other items of this caliber…,
auto_buckler_of_the_peach_pit,item,Enchanted Auto Buckler of the Peach Pit,4,Enchanted Auto Buckler of the Peach Pit Forms a metallic buckler on command. May be triggered via hotlist or by shaking your wrist like you’re thinking of your hot Aunt Lydia. This item is enchanted with Shatter. Any attack that lands upon this shield has a 1.5% chance to disarm the opponent.,,
collar_charm_of_the_effete_bourgeoisie,item,Enchanted Collar Charm of the Effete Bourgeoisie,6,,"Enchanted Collar Charm of the Effete Bourgeoisie The middle size of the chains of leadership, this pendant signifies you as a member of the elite…",
gnome_farseer,item,Enchanted Gnome Farseer,5,,"Used to sight long-range targets for their bomb runs, the FarSeerer is credited as one of the key inventions that allowed the Dirigible Gnomes to obtain…",
hairbrush_of_the_beefmaster,item,Enchanted Hairbrush of the Beefmaster,9,"The hairbrush is shining gold with a jeweled handle. It shrieks like ""a group of women squealing and cheering at a rock concert"" when Carl is brushing his hair. When he stops, the brush shouts ""Encore!"" and only stops after 2 minutes.",This item may only be used on a male with an average hair length of 25 centimeters or longer…,
handcuffs,item,Enchanted Handcuffs,5,The handcuffs are covered in fuzzy red velvet.,"My safe word is, “Harder, Daddy.” You know what these are…",
lock_box_of_the_night_wyrm,item,Enchanted Lock Box of the Night Wyrm,8,"The box is a rectangular dark wooden box covered in carved spiderweb patterns. The box is light and about the size of a music box. It crackles with dark energy. Three marble sized jewels are on the lid, attached with a metallic claw. One of the three jewels glows while the other two are cracked and burned out. The side of the box has slats in it, and inside is a pink orchid.","Ahh, what’s in the box? What’s in the fucking box? Two of three seals have been broken…",
mongoliensis_saddle,item,Enchanted Mongoliensis Saddle,4,"The saddle is an obscenely garish blue and red tassel-covered saddle. There are no straps or reins on the saddle, just a seat and a pommel. As soon as Donut hops onto the saddle, a translucent strap appears, wrapping around her waist and tying her to the saddle.","Adjusted to fit Cat species. Magically affixes itself to the dreaded Mongoliensis, turning everyone’s favorite murder chicken into a mount…",
nipple_ring_of_the_superior_fire_demon_s_hand_maiden,item,Enchanted Nipple Ring of the Superior Fire Demon’s Hand Maiden,8,,This may only be equipped on a quadruped…,
obsidian_bracelet_of_the_raggle_rouser,item,Enchanted Obsidian Bracelet of the Raggle Rouser,6,,This item has been upgraded three times…,
paupers_ring_of_the_steadfast_emberus,item,Enchanted Paupers Ring of the Steadfast Emberus,8,,"I'm sure any jewelry that bears his name will be a perfectly fine, normal piece of magical gear…",
repeating_crossbow_of_the_scavenger_mother_of_mothers,item,Enchanted Repeating Crossbow of the Scavenger Mother of Mothers,4,"The crossbow appears to be made of gold, but feels almost plastic. It has an inlay carving of a vulture. With two females in a party, the crossbow fires twice a second, auto-loading, cocking, and firing. The base ammo is a magical razor-tipped bolt, about 20 inches long. The bolts disappear after about a minute.",Warning: You have a dick. Enchanted Repeating Crossbow of the Scavenger Mother of Mothers This is a Unique item…,
roll_of_never_ending_duct_tape,item,Enchanted Roll of Never-ending Duct Tape,5,,Odds are good you know who Ted Bundy is…,
shade_gnoll_riot_forces_crowd_control_shield,item,Enchanted Shade Gnoll Riot Forces Crowd Control Shield,4,"The shield is a 6 foot tall, curved riot shield with a plastic window in the top. There are loops on the back to hold the shield. Painted on the front in white block letters are the words ""Get Back"" in Syndicate Standard.",Sometimes the galaxy isn’t a happy place…,
shade_gnoll_riot_forces_telescoping_crowd_control_baton,item,Enchanted Shade Gnoll Riot Forces Telescoping Crowd Control Baton,4,,This enchanted truncheon is designed to crack skulls and to teach those ungrateful bastards to show some got-damned respect…,
spiked_knee_pads_of_the_munificent_goddess_kina,item,Enchanted Spiked Knee Pads of the Munificent Goddess Kina,9,,This is a Unique item. This is a Divine Item…,
toe_ring_of_the_leprous_bandit,item,Enchanted Toe Ring of the Leprous Bandit,5,,"This is a unique item. Most children in the universe know the exciting tale of the Leprous Bandit, the infamous human thief whose people were starving…",
toe_ring_of_the_well_balanced,item,Enchanted Toe Ring of the Well-Balanced,9,,"This special, dainty, perfectly delightful toe ring (which, by the way, must be equipped on your left pinky toe…",
venomous_elven_rock_chucker,item,Enchanted Venomous Elven Rock Chucker,6,,"The mounted, fast-attack artillery specialists of the Dream don’t bring siege engines with them when they go raiding…",
wrestling_belt_of_the_great_gorgo,item,Enchanted Wrestling Belt of the Great Gorgo,4,"A gold wrestling belt, like any regular heavyweight champion belt they'd give to a WWE star.",This enchanted belt offers the following benefits: * +5% Strength * +5% Constitution * +The Avalanche Benefit.,
enemy_of_the_church_tattoo,item,Enemy of the Church Tattoo,6,"The tattoo has the following effects: *You may not worship Diwata or her allies. *Outside of Club Vanquisher, all adherents of Diwata will attack you on sight. *25% bonus damage against adherents of Diwata. *+ additional 25% bonus damage (for a total of 50%), due to being an adherent of Emberus. The System AI adds: Warning: Uh, so this is a big one, so listen closely. Don’t let Diwata see you. Ever.",,
engine_of_tomorrow,item,Engine of Tomorrow,9,His new eye is a swirling black orb that changes to a clockwork engine when it is working. It gives the users the ability to see muscles tensing and slows down their perception of time in short bursts.,,
engineer_s_key,item,Engineer's Key,4,,,
epitome_noflex,character,Epitome Noflex,5,,,
epitome_tagg,character,Epitome Tagg,9,"At his first meeting with Carl and Donut, Carl mused that Tagg looked nothing like the unhinged psychopath he was portrayed to be. He wore a simple, leather jerkin and was indistinguishable from the rest of the dream elves. He was one of the richest men in the entire galaxy. During faction wars, he wore utilitarian armor.",,
experience_mob,monster,Experience,8,,,
fang,character,Fang,9,"Similar to the Nebular society, the Reavers enhance themselves with machines and only keep their brains.",,
feral_goose,character,Feral Goose,5,,,
festering_ghoul,monster,Festering Ghoul,4,"Festering Ghouls take the appearance of whatever race they previously were, but covered in festering sores. Towards the end of the Fourth Floor, the Festering Ghouls congregate at station 48. Worms come out of them and pull the ghouls together, turning into a frankenmonster Province Boss. It fills the stairwell room completely. The last Recap Episode of the floor shows a group of crawlers take on the monster.",Festering Ghoul – Level 18 One of the unfortunate side effects of the Rev-Up Amazing Cure-All Vitamin Immunity Shot is the possibility of addiction…,
fifth_floor,location,Fifth Floor,5,"The fifth floor abandons the sprawling, interconnected maps of previous levels in favor of 1,172 isolated ""bubbles"" scattered across a dark, flat expanse known as the ""lacuna."" Each dome-like bubble is divided into four distinct environmental quadrants: Land, Sea, Air, and Subterranean (or Tomb).",,
filthy_little_crawlers_book_of_voodoo,item,Filthy Little Crawlers Book of Voodoo,8,"A book that can be used to exchange messages with other crawlers you have meet that also own a “filthy little crawlers book of voodoo”. When meeting a crawler that also has this book their name will appear in it, if you write a message under their name only they will receive it, if you write under your name everyone can see it. Messages can be erased on demand.",Warning: You may not trade this item…,
fireball_spell,skill,Fireball Spell,6,"Fireball is a powerful spell that allows the caster to throw a slow-moving orb of explosive, temporary fire at a target. Crawlers may learn the spell from tomes, or gain the spell from items. Due to the nature of the spell, it should only be used outside or in open spaces. Using it irresponsibly may result in a snarky achievement and/or a Did-You-Really-Just-Cast-Fireball-in-a-Room-This-Small Box.",,
flamengo,faction,Flamengo,6,,,
football_hooligan_class,class,Football Hooligan Class,4,,,
four_leaf_clover_patch,item,Four-Leaf Clover Patch,9,A small patch of a group of four-leaf clovers being smashed under a bare foot.,"This upgrade patch depicts a perfectly-perfect, mouthwatering human foot treading upon a patch of four-leaf clovers, creasing them as it presses down with gentle but oh-so-firm…",
fourth_floor,location,Fourth Floor,4,"The Iron Tangle is a subterranean network of hundreds of kilometers of twisting, turning train tubes, platforms, and transit stations. It consists entirely of thousands of interconnected tunnels, each carrying a color designation or a unique name, and each running one or more trains in a continuous loop.",,
funeral_bell,race,Funeral Bell,6,,"Funeral Bell – Level 95 I would apologize in advance for this description, but an apology would imply that I’m sorry…",
gangway_chock,item,Gangway Chock,4,"The Gangway Chock is a massive sheet of metal fashioned out of a breastplate from the Third Floor. It's a rectangular hunk of metal with rounded edges, thinned out to about a 1/5 inch. It's ""solid and heavy as shit"". Carl wedges it into the space between the seats and the gangway doors.It's much larger than the doors, wide enough that no monsters can get around it unless they are tiny.",,
gate_of_the_feral_gods,item,Gate of the Feral Gods,5,"The Gate of the Feral Gods opens a massive, swirling portal roughly twenty feet tall that connects two distant points. That connection comes at a devastating cost: to link two places, the Gate rips a hole into the depths of the Nothing, the dimension into which the pantheon banished the old gods and demons, and when the portal finally closes it releases one of those banished beings, a feral god driven mad by its impr…",The artifact's three components are described separately by the system…,
geraldo,character,Geraldo,8,"He wears a white headband with hearts on it, matching the team flag. He was not wearing it prior to capture. He makes kung-fu noises when moving.",You sure about that? Level: 70…,
ghazi,character,Ghazi,5,,"As a glass mage who specializes in the study of both transmutation and the teleportation of energized particles, Ghazi told his colleagues at the Larracos College…",
ghommid,monster,Ghommid,8,,Part of the Pueblo de los Olvidados Quest description: Have you ever looked through a microscope at a drop of seawater?…,
glamoured_fragment,monster,Glamoured Fragment,6,,,
glass_cannon_class,class,Glass Cannon Class,5,It gives users 15 additional constitution points but prevents them from adding to constitution on level up. * It greatly increases training speed on all spells and reduces the cost of casting them.,,
gnomish_drop_bear,item,Gnomish Drop Bear,5,"Gnomish Drop Bears look like open-air, twin-engine biplanes, with each engine nestled between the wings, and look like they were built out of scrap metal. The planes may be decorated with paint.",This is one of the Dirigible Gnome’s earliest fast-attack planes…,
gnomish_knock_knock,item,Gnomish Knock-Knock,5,,I wouldn’t be tapping on the thing…,
gnomish_legate_balloon,item,Gnomish Legate Balloon,5,,"Of all the vehicles left aboard the dreadnaught Wasteland, the Vahana is perhaps the oldest…",
gods,monster,Gods,4,"Gods, also known as Deities, are immensely powerful beings that reside within the Dungeon, many of them drawn from real-world mythologies. Despite their name, they are not truly divine: each is controlled by a wealthy Syndicate sponsor who has paid for the privilege of wielding its power.",,
goiter,character,Goiter,6,,"Council member of this settlement. One of the few races who managed to not get fully wiped out by Scolopendra’s nine-tier attack, the bugbears are now…",
good_mana_potion,item,Good Mana Potion,6,,,
gore_gore,character,Gore-Gore,4,"Carl describes Gore-Gore: “From the shoulders down, this was a normal man. He was built large and strong. But where a normal person’s neck would be was another torso, leading to the top half of—another?—man. This top half wasn’t as large as the lower half. The creature had a pair of legs and arms on the bottom half and another pair of arms on the top half.","Of all the ‘taurs out there, from Centaurs to Bisontaurs to Rhinotaurs, the ManTauR is one of the weirdest…",
graupel,skill,Graupel,5,"Graupel costs (50) Mana Points to cast, but casts instantaneously. The crawler's hands glow with bluish-white light while casting, and the glow spreads around the caster. It has a full one week cooldown period. Once cast, a storm rolls through the area and fist-sized chunks of hail pelt down from the sky.",,
gross_atomizers,monster,Gross Atomizers,4,,,
growler_gary,character,Growler Gary,4,"Growler Gary is very concerned with being perceived as a coward. When the ghouls come through the station and kill everyone outside his bar, Gary tries to leave to help but is stopped due to his NPC key-holder status, making him effectively immortal. Everytime he comes back to life he is sober, despite his excessive drinking. He is prejudiced against Hobgoblins.",,
grrl_power_box,item,Grrl Power Box,4,,,
grull,character,Grull,4,"Mordecai names horses, centaurs, and tikbalangs as likely adherents of Grull, and notes that llama-type creatures pray to him as well, though not until after the Third Floor. His worshippers smear themselves in blue makeup and talk incessantly about wenches and dying gloriously in battle. Mordecai is blunt about what that worship is actually directed at.",,
hamed,character,Hamed,8,"Hamed is the secretive leader of the Guild of Suffering, a cult that worships him as a ""Samantha-like demigod."" Members of his guild are marked with the ""Night Wyrm's Nasty Little Web of Suffering"" tattoo, which grants them access to his hidden lairs.",,
hell_kissed_celestial_skill_potion_of_the_prince_of_woe,item,Hell-Kissed Celestial Skill Potion of the Prince of Woe,9,"The potion is a small, glittering potion bottle shaped like a horned skull filled with black, bubbling liquid. A small hand-written note is tied to the bottle with the words ""Drink Me"" and a drawing of a demon giving the devil horns symbol.","In case you haven’t figured this out yet, we’re trying to kick things up a notch this year…",
heyzoos,character,HeyZoos,8,,"I am the way, motherfucker. Level: 140…",
hobgoblin_disco_ball,item,Hobgoblin Disco Ball,5,,Effect: It’s a real trip. Status: 25…,
holger,character,Holger,6,"He wears black, studded leather from neck to toe, no helmet, and a pair of weapons over his shoulders: a sickle-shaped blade, and a sharpened stick. The pale-skinned warrior has a red bandana wrapped tight around his fuzzy head that sports a genuine mullet, Rambo-style. He stands about three feet tall and is wide, but not fat. More a like miniature, well-built football player.",,
horton,character,Horton,6,Horton looks like a mushroom after the Third Floor race selection process.,,
houston,character,Houston,9,,,
hunters,faction,Hunters,6,,,
hunting_trophy,item,Hunting Trophy,6,,It’s the hand of a hunter…,
i_take_it_all_back_potion,item,I Take It All Back Potion,6,,,
i_m_wet_box,item,I'm Wet Box,5,,,
imogen,character,Imogen,6,"Imogen rules the high elves from a castle in the extreme southeast of the Hunting Grounds. A reclusive, pure-blooded mage, she rarely leaves her chambers on the castle's seventh story, which is off limits to everyone but the queen and the black-clad guards who answer to her personally. As of the evening of the masquerade, nobody on the floor had yet laid eyes on her.",Queen Imogen - High Elf Cleric Sorceress Level 145 Country Boss This isn't just any high elf…,
inle,character,Inle,8,"During the Thorn Room Boss Battle, if his shrine is repaired: “One of only two of the Orishas to have spent time in the Nothing, the deaf and mute Inle isn’t all there. That’s a nice way of saying he’s batshit. But, he once was a healing god. If you repair his shrine, you will gain immunity from most health-seeping conditions. You will gain 50% to your Constitution. Inle will not ascend.",,
instacot_60,item,Instacot 60,6,"The Instacot 60 is the second best Bed Upgrade on the market. Crawlers will feel fully rested after only sixty seconds (one minute) of sleep, and will receive the Great Rest buff for (presumably) 30 hours.",,
interdiction_auxillary_railway_repair_cart,item,Interdiction Auxillary Railway Repair Cart,4,"The Interdiction Auxillary Railway Repair Cart looks like a simple flatbed cart with two sets of four wheels, about the size of a small car. There is an engine on the back with additional controls including a strange glowing switch that appears to be magical. The cart uses one Dwarven Battery.",The simplest of the powered railway carts…,
interdiction_rapid_response_railway_repair_cart,item,Interdiction Rapid-Response Railway Repair Cart,4,"The Interdiction Rapid-Response Railway Repair Cart is larger than the Interdiction Auxillary Railway Repair Cart. The cart is a large flattop wooden and steel cart with 12 wheels. The cart has a section of open seating in front of a raised drivers cab accessed via small ladder, with an engine on the back.",The main workhorse vehicle of the Hobgoblin Interdiction Team…,
jamal,character,Jamal,9,"Jamal is a polite, anxious, and deeply loyal companion who constantly speaks in the third person. He possesses the memories of a real apex predator, recalling his days swimming in the ocean, but he struggles with the existential dread of his newfound mortality. Despite his terrifying appearance, he is incredibly gentle and eager to please his friends, often offering profound apologies whenever he makes a mistake.",,
jelly_bomb,item,Jelly Bomb,4,,,
jellyfish_salve,item,Jellyfish Salve,5,,"If you can’t talk someone into peeing on you after you get stung by a Pain Amplifier Jelly, then this will do the trick…",
jikininki_janitor_ghouls,monster,Jikininki Janitor Ghouls,4,"Hunched, thin monsters appearing to be grown-up cousins of Drek babies. White emaciated creatures about 7 feet tall with arms that drag to the ground with serrated black fingernails that clink like porcelain. Their faces are all sharp teeth and white bulging eyes. Mouths/teeth start chattering up and down like a wind-up toy, making the sound of an industrial shredder when excited.","Of all the types of ghouls one may find in the Iron Tangle Rail System, the Jikininki is the most common, the most well-behaved, and the…",
jola,character,Jola,8,"Jola is considered a ""pain in the ass"" to manage. Unlike many other totems, he generally does what he is asked without talking to or aggravating the other summoned totems, though he will occasionally just sit there and outright refuse to fight. Because he has a lot of health, he is an excellent tank, but his massive size makes him highly problematic to summon in tight spaces.","Beware, beware, little children, beware! Through the flurries and through the cold, Jola comes…",
juice_box,character,Juice Box,5,"Juice Box plays cheerfully ditzy: flirtatious, mercenary, and quick with a joke at a customer's expense. She sells gossip as readily as company, charging a gold coin for what she knows about the local borough boss and taking a standing bounty of one gold per non-local Crawler she spots around town. The act is thin.",,
just_wait_until_your_daddy_gets_home,item,Just Wait Until Your Daddy Gets Home,6,,Also imbues Fear within blast radius…,
kina,character,Kina,9,,"[T]he sea goddess Kina, who is really just a weird, horny—and when I say horny, I am using both versions of that term—sea-urchin-like, bottom feeder of…",
king_croissant,item,King Croissant,8,,,
